TSNE1,TSNE2
10.248802,16.258211
-13.499703,6.9583335
-12.491211,-0.24703017
-1.4947759,34.923172
-30.616104,12.125795
9.315563,-9.801895
-5.322285,14.211923
3.1582162,-17.222198
10.324392,15.922418
-4.0648108,35.0373
-18.31288,23.654215
-32.990402,-27.35668
-19.825775,-33.787018
-7.6276035,-7.2268596
-17.363258,-2.4603372
3.617852,7.756177
11.692501,16.762419
-19.681232,23.353258
12.455982,26.939959
6.6258197,29.636265
21.478395,57.03133
-5.711279,17.406612
18.712906,-9.639308
1.3346431,27.942461
-45.670734,2.4213505
3.8918977,30.266916
2.358328,-16.073868
6.6507134,36.17226
-15.782595,17.65814
-29.18813,-40.381046
19.422087,61.583294
-4.662589,-62.66015
-9.821429,-36.800156
14.81774,-9.0386505
33.217907,-0.77297133
-5.201928,-60.954693
9.938162,-24.967701
8.182653,29.780857
-25.49611,-41.87012
-45.678055,2.4603484
1.8916901,8.491081
24.08105,-7.661261
5.4956837,28.78524
34.692142,-14.22068
-28.174856,-2.101041
18.621054,-43.405155
6.073055,-25.276459
12.674331,0.9529988
26.571966,57.26806
-12.8648615,-4.259694
7.464223,24.34125
16.287766,-0.60731167
8.2982235,-23.628826
10.130922,25.235634
-32.088207,-24.935694
-33.113663,10.325931
21.63387,18.682882
-3.4301324,38.62977
-9.282483,-55.770752
35.97669,0.24412464
-30.014864,-36.346977
-6.508294,-65.355835
0.5129432,-10.750899
9.661439,3.3160594
23.904495,-37.796112
-4.5389967,-65.8986
-33.01149,-20.728226
-1.3122115,-30.963634
-6.630172,-35.57621
-26.887573,-4.0952277
-21.961632,30.58895
-3.4250746,-39.075542
-19.545507,-3.6355426
-25.75448,-32.866127
21.998394,55.722366
12.592556,31.31121
-3.2657952,19.74634
29.53248,-15.976491
-25.086317,5.1686563
33.522858,1.5958633
17.57851,-41.593204
-4.3400216,-1.9619879
-33.563446,25.266108
2.8838346,10.066089
22.191372,23.6807
34.187878,-24.88183
14.254349,60.937237
22.729189,-24.15469
21.206776,56.246883
-18.51134,3.2666242
10.847739,10.524585
-23.666042,-3.6837974
10.115974,5.1669726
7.7307086,-21.612087
-13.700919,4.34518
6.7065825,24.738943
14.233991,17.285591
-4.631263,-40.882454
22.901052,15.935896
-18.691626,-0.7299514
17.195772,58.168068
-27.713175,-26.001554
-16.129759,-11.310345
-16.397219,-8.448914
8.737255,10.112443
-2.4241052,29.790716
-3.3575783,-66.9976
-27.867266,23.637283
-19.45633,26.97837
11.107228,-2.781734
33.426773,2.4361188
-13.642022,4.732641
-14.895532,6.1861453
24.581154,60.513863
0.85898185,-22.29387
-46.299793,2.0980067
-30.105957,4.285603
-33.718163,21.409365
-31.743467,-30.406124
34.701836,1.3181247
-1.6561134,39.476624
32.52066,3.8706167
-21.52125,19.33141
23.324427,-30.95971
25.453644,2.9995098
13.898048,13.963764
-6.7087526,4.568057
-30.20453,23.680437
8.357332,-26.964527
-13.1778,16.8722
5.6993747,22.021944
11.468184,-17.57264
15.110461,20.187431
-17.553125,-6.9777393
32.277496,-13.13287
-22.755587,7.7122707
-22.536364,27.608156
-7.9762745,6.0508523
8.36086,33.049065
37.774902,-6.7482996
-31.394806,19.076014
-21.466457,28.065609
-18.215033,3.3043928
-12.692133,8.695879
-26.1498,-37.561886
11.371687,13.1175785
-11.966837,8.660334
25.062805,57.85135
18.487822,51.64446
-13.418331,12.769922
10.710308,-19.049833
-29.368061,10.184287
-0.17203003,-10.550076
-29.83286,-26.595676
-1.8541725,-64.97163
13.370128,38.11047
-25.224613,-37.669796
-11.819938,-37.631256
3.958868,18.301466
-31.94097,9.753774
15.354662,14.89151
-20.91575,-1.743476
33.696297,-11.078754
4.966335,5.931696
22.132994,54.242294
2.2871377,30.707
-27.577272,22.085371
-25.674637,-28.552242
11.079409,-11.534209
21.49021,-39.107655
-3.9556506,26.792915
2.4025226,22.798687
18.700909,59.376484
-27.945137,-37.71391
8.019253,26.630857
-22.975723,27.259842
4.7173147,26.745497
12.937846,32.901752
-29.554125,10.283114
4.8745203,-37.14876
24.820187,-7.5194716
8.104184,3.001553
0.555688,0.52536297
-14.069979,21.846966
15.093793,5.77375
1.7671753,-1.3388827
-18.312988,-34.807915
8.373768,12.802873
8.761111,32.02543
-9.698356,39.956997
25.01131,-24.955046
7.963235,-4.0135145
